FECHA,IRRADH00,IRRADH03,IRRADH06,IRRADH09,IRRADH12,IRRADH15,IRRADH18,IRRADH21,ANNO,MES,DIA,DIASEM
2015-01-01,0.0,0.0,0.0,393513.78,1228750.1,598885.6,0.0,0.0,2015,1,1,3
2015-01-02,0.0,0.0,0.0,338985.3,1155297.4,476027.28,0.0,0.0,2015,1,2,4
2015-01-03,0.0,0.0,0.0,377949.56,1216140.1,551573.3,0.0,0.0,2015,1,3,5
2015-01-04,0.0,0.0,0.0,363471.1,1230439.8,604020.1,0.0,0.0,2015,1,4,6
2015-01-05,0.0,0.0,0.0,308257.75,1126382.5,544212.94,0.0,0.0,2015,1,5,0
2015-01-06,0.0,0.0,0.0,329198.72,1107325.2,598782.9,0.0,0.0,2015,1,6,1
2015-01-07,0.0,0.0,0.0,403732.03,1196278.1,431225.0,0.0,0.0,2015,1,7,2
2015-01-08,0.0,0.0,0.0,274828.22,780148.7,532633.56,0.0,0.0,2015,1,8,3
2015-01-09,0.0,0.0,0.0,357550.25,1166043.2,602027.3,0.0,0.0,2015,1,9,4
2015-01-10,0.0,0.0,0.0,357209.72,1121765.9,573778.2,0.0,0.0,2015,1,10,5
2015-01-11,0.0,0.0,0.0,183087.75,1028677.4,665776.4,0.0,0.0,2015,1,11,6
2015-01-12,0.0,0.0,0.0,412749.8,1257905.1,655456.7,0.0,0.0,2015,1,12,0
2015-01-13,0.0,0.0,0.0,82013.0,224235.48,256771.89,0.0,0.0,2015,1,13,1
2015-01-14,0.0,0.0,0.0,209805.25,757344.0,300479.94,0.0,0.0,2015,1,14,2
2015-01-15,0.0,0.0,0.0,58468.223,82593.43,49813.406,0.0,0.0,2015,1,15,3
2015-01-16,0.0,0.0,0.0,275303.56,814008.0,552409.8,0.0,0.0,2015,1,16,4
2015-01-17,0.0,0.0,0.0,185400.98,535377.6,122954.984,0.0,0.0,2015,1,17,5
2015-01-18,0.0,0.0,0.0,59550.688,168708.92,55004.125,0.0,0.0,2015,1,18,6
2015-01-19,0.0,0.0,0.0,380792.44,1145711.5,516786.16,0.0,0.0,2015,1,19,0
2015-01-20,0.0,0.0,0.0,155051.1,605505.9,440220.84,0.0,0.0,2015,1,20,1
2015-01-21,0.0,0.0,0.0,147927.22,613027.2,353327.1,0.0,0.0,2015,1,21,2
2015-01-22,0.0,0.0,0.0,215574.11,795235.5,178774.23,0.0,0.0,2015,1,22,3
2015-01-23,0.0,0.0,0.0,323378.44,1067981.9,512267.1,0.0,0.0,2015,1,23,4
2015-01-24,0.0,0.0,0.0,303609.6,1091913.0,621537.8,0.0,0.0,2015,1,24,5
2015-01-25,0.0,0.0,0.0,299243.94,931016.4,498175.4,0.0,0.0,2015,1,25,6
2015-01-26,0.0,0.0,0.0,486679.7,1219832.4,561890.5,0.0,0.0,2015,1,26,0
2015-01-27,0.0,0.0,0.0,286958.28,1019904.7,658458.9,0.0,0.0,2015,1,27,1
2015-01-28,0.0,0.0,0.0,214439.8,474646.8,141897.73,0.0,0.0,2015,1,28,2
2015-01-29,0.0,0.0,0.0,38865.85,55488.81,28034.709,0.0,0.0,2015,1,29,3
2015-01-30,0.0,0.0,0.0,22244.691,54394.77,12764.693,0.0,0.0,2015,1,30,4
2015-01-31,0.0,0.0,0.0,326454.3,889133.3,574058.4,0.0,0.0,2015,1,31,5
2015-02-01,0.0,0.0,0.0,286394.03,652215.56,346664.5,0.0,0.0,2015,2,1,6
2015-02-02,0.0,0.0,0.0,143259.16,459887.16,249642.86,0.0,0.0,2015,2,2,0
2015-02-03,0.0,0.0,0.0,186648.08,648941.2,438078.94,0.0,0.0,2015,2,3,1
2015-02-04,0.0,0.0,0.0,346815.75,1035594.06,764342.06,0.0,0.0,2015,2,4,2
2015-02-05,0.0,0.0,0.0,468095.2,1170937.1,568089.1,0.0,0.0,2015,2,5,3
2015-02-06,0.0,0.0,0.0,367840.7,987074.1,648557.44,0.0,0.0,2015,2,6,4
2015-02-07,0.0,0.0,0.0,540591.6,1231094.6,763298.5,0.0,0.0,2015,2,7,5
2015-02-08,0.0,0.0,0.0,697181.2,1643425.0,1039286.1,0.0,0.0,2015,2,8,6
2015-02-09,0.0,0.0,0.0,737859.7,1708178.4,1111884.6,0.0,0.0,2015,2,9,0
