FECHA,UTILH00,UTILH03,UTILH06,UTILH09,UTILH12,UTILH15,UTILH18,UTILH21,ANNO,MES,DIA,DIASEM
2015-01-01,0.0,0.0,0.0322365225837785,0.370669418811721,0.468188440990772,0.106079002752145,0.0,0.0,2015,1,1,3
2015-01-02,0.0,0.0,0.0162497976363931,0.282762667961794,0.366318601262749,0.0715962441314554,0.0,0.0,2015,1,2,4
2015-01-03,0.0,0.0,0.0181722519022179,0.329771733851384,0.429112028492796,0.0987939129027036,0.0,0.0,2015,1,3,5
2015-01-04,0.0,0.0,0.0148534887485835,0.26517727051967,0.452586206896552,0.107070584426097,0.0,0.0,2015,1,4,6
2015-01-05,0.0,0.0,0.0150356159948195,0.279423668447466,0.354116075764934,0.0678727537639631,2.0236360692893e-05,0.0,2015,1,5,0
2015-01-06,0.0,0.0,0.0148130160271977,0.329306297555448,0.456471588149587,0.103306621337219,0.0,0.0,2015,1,6,1
2015-01-07,0.0,0.0,0.0179091792132103,0.357495548000648,0.434778209486806,0.0735794074793589,0.0,0.0,2015,1,7,2
2015-01-08,0.0,0.0,0.0160271976687712,0.162781285413631,0.324753116399547,0.0897280233122875,0.0,0.0,2015,1,8,3
2015-01-09,0.0,0.0,0.0200137607252712,0.336166423830338,0.459446333171442,0.117775619232637,0.0,0.0,2015,1,9,4
2015-01-10,0.0,0.0,0.0198923425611138,0.244394528088069,0.339647077869516,0.112311801845556,0.0,0.0,2015,1,10,5
2015-01-11,0.0,0.0,0.0112514165452485,0.209648696778371,0.382527926177756,0.118463655496196,0.0,0.0,2015,1,11,6
2015-01-12,0.0,0.0,0.0202768334142788,0.384126598672495,0.405435486482111,0.100615185365064,0.0,0.0,2015,1,12,0
2015-01-13,0.0,0.0,0.010785980249312,0.0619030273595597,0.108183584264206,0.0447628298526793,0.0,0.0,2015,1,13,1
2015-01-14,0.0,0.0,0.014185688845718,0.161850412821758,0.158369758782581,0.0278857050348065,0.0,0.0,2015,1,14,2
2015-01-15,0.0,0.0,0.0106847984458475,0.0472519022179051,0.0420106847984458,0.0199328152824996,0.0,0.0,2015,1,15,3
2015-01-16,0.0,0.0,0.0112311801845556,0.146187469645459,0.214889914197831,0.0736603529221305,0.0,0.0,2015,1,16,4
2015-01-17,0.0,0.0,0.0141249797636393,0.175287356321839,0.144507851707949,0.0166545248502509,2.0236360692893e-05,0.0,2015,1,17,5
2015-01-18,0.0,0.0,0.0107050348065404,0.0809859154929577,0.0883317144244779,0.0093896713615023,0.0,0.0,2015,1,18,6
2015-01-19,0.0,0.0,0.0142666342884896,0.274263396470779,0.312894609033511,0.0697344989477092,0.0,0.0,2015,1,19,0
2015-01-20,0.0,0.0,0.0115144892342561,0.162619394528088,0.286728994657601,0.0858021693378663,0.0,0.0,2015,1,20,1
2015-01-21,0.0,0.0,0.0108062166100049,0.122935891209325,0.171948356807512,0.0405536668285576,0.0,0.0,2015,1,21,2
2015-01-22,0.0,0.0,0.0114335437914845,0.106767039015703,0.14906103286385,0.0211672332847661,0.0,0.0,2015,1,22,3
2015-01-23,0.0,0.0,0.0122429982192003,0.164987048729157,0.197567589444714,0.0484053747774,0.0,0.0,2015,1,23,4
2015-01-24,0.0,0.0,0.0146511251416545,0.211045005666181,0.343775295450866,0.109013275052615,0.0,0.0,2015,1,24,5
2015-01-25,0.0,0.0,0.0173425611138093,0.284664885866926,0.445341589768496,0.137263234579893,0.0,0.0,2015,1,25,6
2015-01-26,0.0,0.0,0.0180305973773677,0.324975716367168,0.424073174680265,0.148676542010685,0.0,0.0,2015,1,26,0
2015-01-27,0.0,0.0,0.0145094706168043,0.245952727861421,0.376902217905132,0.133458798769629,0.0,0.0,2015,1,27,1
2015-01-28,0.0,0.0,0.0154808159300631,0.154504613890238,0.1452161243322,0.0243645782742432,0.0,0.0,2015,1,28,2
2015-01-29,0.0,0.0,0.0112716529059414,0.0711712805569047,0.07015946252226,0.0092682531973449,0.0,0.0,2015,1,29,3
2015-01-30,0.0,0.0,0.0106443257244617,0.0541929739355674,0.0596365549619556,0.0061720900113323,0.0,0.0,2015,1,30,4
2015-01-31,0.0,0.0,0.0152379796017484,0.194734498947709,0.281993686255464,0.0792860611947547,0.0,6.0709082078679e-05,2015,1,31,5
2015-02-01,8.0945442771572e-05,8.0945442771572e-05,0.0172413793103448,0.202323134207544,0.278452323134208,0.0815322972316659,0.0001618908855431,8.0945442771572e-05,2015,2,1,6
2015-02-02,8.0945442771572e-05,8.0945442771572e-05,0.0136393071070099,0.115873401327505,0.203942043062976,0.0376598672494739,0.0001416545248502,8.0945442771572e-05,2015,2,2,0
2015-02-03,8.0945442771572e-05,0.0001011818034644,0.0150760887162053,0.126112999838109,0.172170956775134,0.0468067022826615,0.0001214181641573,8.0945442771572e-05,2015,2,3,1
2015-02-04,8.0945442771572e-05,0.0001011818034644,0.0204589606605148,0.198538934757973,0.289784685122228,0.154120123037073,0.0001214181641573,8.0945442771572e-05,2015,2,4,2
2015-02-05,0.0001011818034644,8.0945442771572e-05,0.0205399061032864,0.256495871782419,0.369030273595597,0.10785980249312,0.0001214181641573,0.0001011818034644,2015,2,5,3
2015-02-06,0.0001011818034644,8.0945442771572e-05,0.0184150882305326,0.209972478549458,0.226627003399709,0.0482434838918569,0.0001214181641573,0.0001011818034644,2015,2,6,4
2015-02-07,8.0945442771572e-05,8.0945442771572e-05,0.0233932329609843,0.233871620527764,0.27804759592035,0.125344018131779,0.0001416545248502,8.0945442771572e-05,2015,2,7,5
2015-02-08,8.0945442771572e-05,8.0945442771572e-05,0.0413428848955804,0.461975878258054,0.583920187793427,0.222660676703902,0.0001214181641573,8.0945442771572e-05,2015,2,8,6
2015-02-09,8.0945442771572e-05,0.0001011818034644,0.0489315201554152,0.499898818196536,0.598773676542011,0.247187145863688,0.0001214181641573,8.0945442771572e-05,2015,2,9,0
2015-02-10,0.0001011818034644,8.0945442771572e-05,0.0505099562894609,0.494050509956289,0.588918568884572,0.236765420106848,0.0001214181641573,8.0945442771572e-05,2015,2,10,1
2015-02-11,0.0001011818034644,8.0945442771572e-05,0.0309413954994334,0.340132750526145,0.405131941071718,0.116723328476607,0.0001214181641573,0.0001011818034644,2015,2,11,2
2015-02-12,8.0945442771572e-05,8.0945442771572e-05,0.0169783066213372,0.116419783066213,0.211409260158653,0.100352112676056,0.0001416545248502,8.0945442771572e-05,2015,2,12,3
2015-02-13,8.0945442771572e-05,8.0945442771572e-05,0.016836652096487,0.0846891694997572,0.121964545896066,0.0367897037396795,0.0001618908855431,8.0945442771572e-05,2015,2,13,4
2015-02-14,8.0945442771572e-05,0.0001011818034644,0.0164926339647078,0.0999069127408127,0.125080945442772,0.0357778857050348,0.0001214181641573,0.0001011818034644,2015,2,14,5
2015-02-15,8.0945442771572e-05,0.0001011818034644,0.0203982515784361,0.147017160433868,0.167314230208839,0.0411405212886514,0.0001214181641573,8.0945442771572e-05,2015,2,15,6
2015-02-16,0.0001011818034644,8.0945442771572e-05,0.0212077060061518,0.116824510280071,0.156892504451999,0.105370730127894,0.0001214181641573,0.0001011818034644,2015,2,16,0
2015-02-17,8.0945442771572e-05,8.0945442771572e-05,0.0521086287841995,0.438602881657763,0.502225999676218,0.247672818520317,0.0001214181641573,0.0001011818034644,2015,2,17,1
2015-02-18,8.0945442771572e-05,8.0945442771572e-05,0.0706653715395823,0.47642463979278,0.57995386109762,0.284705358588311,0.0001416545248502,8.0945442771572e-05,2015,2,18,2
2015-02-19,0.0001011818034644,8.0945442771572e-05,0.065242026873887,0.315707463169824,0.249959527278614,0.0598996276509632,0.0001214181641573,8.0945442771572e-05,2015,2,19,3
2015-02-20,8.0945442771572e-05,0.0001011818034644,0.0193257244617128,0.0981261129998381,0.0952323134207544,0.0192447790189412,0.0001214181641573,8.0945442771572e-05,2015,2,20,4
2015-02-21,0.0001011818034644,8.0945442771572e-05,0.0318722680913065,0.321899789541849,0.425287356321839,0.180791646430306,0.000182127246236,8.0945442771572e-05,2015,2,21,5
2015-02-22,0.0001011818034644,8.0945442771572e-05,0.0240003237817711,0.127650963250769,0.129249635745508,0.0341994495709891,0.0001214181641573,0.0001011818034644,2015,2,22,6
2015-02-23,8.0945442771572e-05,8.0945442771572e-05,0.0236158329286061,0.2015946252226,0.340577950461389,0.109762020398252,0.0001416545248502,8.0945442771572e-05,2015,2,23,0
2015-02-24,8.0945442771572e-05,0.0001011818034644,0.0298081593006314,0.211813987372511,0.311781609195402,0.169580702606443,0.0001416545248502,8.0945442771572e-05,2015,2,24,1
2015-02-25,8.0945442771572e-05,0.0001011818034644,0.0253966326695807,0.169965193459608,0.152521450542334,0.0376801036101667,0.0001618908855431,8.0945442771572e-05,2015,2,25,2
2015-02-26,8.0945442771572e-05,0.0001011818034644,0.028553504937672,0.163590739841347,0.147745669418812,0.0381455399061033,0.0001416545248502,8.0945442771572e-05,2015,2,26,3
2015-02-27,0.0001011818034644,8.0945442771572e-05,0.0609721547676866,0.448619880200745,0.490246074146026,0.12178241864983,0.0001214181641573,0.0001011818034644,2015,2,27,4
2015-02-28,8.0945442771572e-05,8.0945442771572e-05,0.0263679779828396,0.143900760887162,0.151914359721548,0.0404929577464789,0.0001416545248502,0.0001415920631668,2015,2,28,5
2015-03-01,0.0001008694950473,0.0001210433940567,0.0294337186548044,0.109867054005528,0.102160624583913,0.0313704129597127,0.0002420867881135,0.0001008694950473,2015,3,1,6
